"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","114/2046","406/14848",0.280788177339901,2.03770423125262,8.47532169502055,1.55890451449419e-14,8.7485721353414e-11,7.9766682578487e-11,"HORMAD1/CCNE1/CDCA8/CDC20/NCAPD2/CDCA2/TTK/NDC80/CHEK1/KIF2C/ANKLE1/FANCA/HASPIN/AURKB/RAD51AP1/RAD54L/TPX2/PLK1/BUB1/CCNB2/TRIP13/SKA1/ANLN/CHEK2/KIFC1/MASTL/RANBP1/NCAPH/KIF18B/FBXO5/SGO1/SKA3/EML4/BIRC5/NCAPG/PSRC1/DLGAP5/UBE2C/MYBL2/KIF23/SPDL1/PTTG1/INCENP/ASPM/KIF15/CDC25B/KIF18A/KNSTRN/NPM2/CCNA1/MTBP/KIF14/CDT1/CENPF/KLHDC3/NCAPG2/TGFA/BORA/AURKA/MAD2L1/CENPI/KIF4A/MKI67/RCC1/CENPE/CKS2/NUF2/RAD51/KIF11/CDK1/GPR3/BUB1B/MAEL/CCNB1/NFIB/SPC24/RAD54B/UBE2S/SPAG5/KNL1/IL1A/STAG3/ESPL1/CHMP4C/NEK2/SPHK1/BRCA2/SPC25/PRC1/BRME1/MYBL1/TNF/SMC4/CDC25C/RAD51B/MEIOC/CYP26B1/HFM1/CCNE2/UHRF1/TOP2A/PRICKLE1/SYCE1L/PKMYT1/TDRD12/LIF/BTC/USP44/EDN1/EPGN/KIF25/BMP7/MEIOB/KASH5",114
"GO:0002449","lymphocyte mediated immunity","99/2046","336/14848",0.294642857142857,2.13824884792627,8.43677526597433,3.33754362011388e-14,9.36514739803956e-11,8.53884186177557e-11,"ULBP3/MSH2/PVR/RNF8/TUBB/EXO1/ULBP1/RAET1L/ULBP2/CEBPG/IL20RB/TAP2/CTSC/UNC13D/IL27RA/ICAM1/LAG3/TNF/APLF/GZMB/KIR2DL4/IL4I1/HLA-F/IGHV3-73/C8G/IFNG/CD70/CARD9/IGHV1-69D/IGHV3-11/IGHV3-20/IGHV1-18/IGHV1-69/IGHV3-64/CD274/IGHV6-1/IL23A/IL12A/IGHG1/IGHV3-23/IGHV4-59/IGHV2-5/PRF1/IL12RB1/IGHV3-21/CSF2RB/SLAMF7/IGHV3-33/IGHV3-48/RAET1G/CD80/CEACAM1/IGHG2/IGHV1-69-2/IGLL5/IGLC2/SECTM1/IGLC3/IGHV3-49/IGHG3/CALHM6/IGKC/C4BPA/IGHV3-30/IGHV3-7/KLRD1/HLA-G/CD7/IGHV2-70/SH2D1B/IGHV5-51/TLR8/IGHV1-24/IGHV4-4/IGHV1-3/IGHV4-39/NKG7/IL18RAP/IGHV4-28/PDCD1/IGHV7-4-1/IGHV3-15/IGHV2-26/IGHV4-34/TIGIT/IGHV3-53/IGHV3-66/LTA/IL13RA2/CD1A/IGHV4-61/IGLC7/CD1B/IGLC6/IGHV1-58/IGHV3-43/IGHV3-35/IGHV2-70D/IGHV3-72",99
"GO:0043588","skin development","81/2046","258/14848",0.313953488372093,2.27838777876287,8.28091019352701,1.78618109825801e-13,2.56961012227748e-10,2.34288832284031e-10,"FOXC1/KRT16/CDKN2A/STMN1/KRT83/EZH2/FERMT1/PAX6/TGM1/GAL/HDAC2/CDH3/KRT86/KRT79/KRT6B/NOTCH1/KLK5/PKP1/EGFR/SMO/LGR5/KRT81/RYR1/KRT6C/CERS3/ST14/WNT10A/FOXQ1/CLDN1/SFN/SPINK5/SCEL/MET/LSR/EPHA2/KRT6A/KRT5/LHX2/TNFSF13B/ANXA1/GATA6/KRT17/SOSTDC1/EDAR/SNAI1/ITGA6/ZNF750/TNF/KRT14/RIPK4/GRHL1/IVL/CYP26B1/SOX9/HPSE/FOXI3/OPN3/CASP14/ITGB4/SLC39A2/GRHL3/TFAP2C/MACROH2A2/DKK1/VANGL2/ETV4/ZBED2/KRT75/BCL11B/SLITRK5/ALX4/CD109/WNT10B/KRT4/KRT7/CSTA/LTB/DACT2/TCHH/ALOX12B/S100A7",81
"GO:0008544","epidermis development","94/2046","320/14848",0.29375,2.13176930596285,8.18207097815335,1.83151113490911e-13,2.56961012227748e-10,2.34288832284031e-10,"FOXC1/YBX1/KRT16/CDKN2A/PLOD1/STMN1/KRT83/EZH2/FERMT1/FABP5/PAX6/TGM1/GAL/HDAC2/CDH3/KRT86/KRT79/KRT6B/TFDP1/NOTCH1/PLOD3/KLK5/TMC1/PKP1/EGFR/PPARA/SMO/LGR5/BNC1/KLK7/KRT81/KRT6C/CERS3/ST14/WNT10A/FOXQ1/CLDN1/SFN/SPINK5/GJB5/SCEL/MET/LSR/TGM5/EPHA2/TMEM132E/KRT6A/KRT5/LHX2/ANXA1/GATA6/KRT17/KRTDAP/SOSTDC1/EDAR/SNAI1/ZNF750/TNF/KRT14/GRHL1/IVL/USH1C/CYP26B1/SOX9/HPSE/PTCH1/FOXI3/OPN3/CASP14/LAMC2/SLC39A2/GRHL3/LAMB3/TFAP2C/MACROH2A2/DKK1/VANGL2/ETV4/ZBED2/KRT75/HEY2/BCL11B/ALX4/CD109/CALML5/KLK14/WNT10B/KRT4/KRT7/MYCN/CSTA/TCHH/ALOX12B/S100A7",94
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","100/2046","356/14848",0.280898876404494,2.03850758399508,7.92873250769535,6.50860365344678e-13,7.30525674062867e-10,6.66069944408522e-10,"ULBP3/IL12RB2/PLA2G4A/RIPK2/MSH2/PVR/RNF8/EXO1/ULBP1/NOTCH1/RAET1L/CLEC7A/ULBP2/IL20RB/TAP2/CTSC/UNC13D/IL27RA/ICAM1/TNFSF13B/ANXA1/ADA/TNF/EPHB2/APLF/RELB/IL4I1/HLA-F/IGHV3-73/C8G/IFNG/CD70/CARD9/IGHV1-69D/IGHV3-11/IGHV3-20/IGHV1-18/IGHV1-69/IGHV3-64/CD274/IGHV6-1/IL23A/PRKCQ/IL12A/IGHG1/IGHV3-23/IGHV4-59/IGHV2-5/PRF1/IL12RB1/IGHV3-21/CSF2RB/IRF4/IGHV3-33/IGHV3-48/RAET1G/CD80/CEACAM1/IGHG2/IGHV1-69-2/IGLL5/IGLC2/SECTM1/IGLC3/IGHV3-49/IGHG3/IGKC/C4BPA/IGHV3-30/IGHV3-7/KLRD1/HLA-G/CD7/IGHV2-70/IGHV5-51/TLR8/IGHV1-24/IGHV4-4/IGHV1-3/IGHV4-39/IGHV4-28/PDCD1/IGHV7-4-1/IGHV3-15/IGHV2-26/IGHV4-34/IGHV3-53/IGHV3-66/LTA/IL13RA2/CD1A/IGHV4-61/IGLC7/CD1B/IGLC6/IGHV1-58/IGHV3-43/IGHV3-35/IGHV2-70D/IGHV3-72",100
"GO:0019724","B cell mediated immunity","61/2046","175/14848",0.348571428571429,2.52961318251641,8.13718970345383,1.18632132151042e-12,1.10960587605275e-09,1.01170314804599e-09,"MSH2/RNF8/EXO1/IL27RA/TNF/APLF/IGHV3-73/C8G/CD70/CARD9/IGHV1-69D/IGHV3-11/IGHV3-20/IGHV1-18/IGHV1-69/IGHV3-64/IGHV6-1/IGHG1/IGHV3-23/IGHV4-59/IGHV2-5/IGHV3-21/CSF2RB/IGHV3-33/IGHV3-48/IGHG2/IGHV1-69-2/IGLL5/IGLC2/IGLC3/IGHV3-49/IGHG3/IGKC/C4BPA/IGHV3-30/IGHV3-7/HLA-G/IGHV2-70/IGHV5-51/TLR8/IGHV1-24/IGHV4-4/IGHV1-3/IGHV4-39/IGHV4-28/IGHV7-4-1/IGHV3-15/IGHV2-26/IGHV4-34/IGHV3-53/IGHV3-66/LTA/IL13RA2/IGHV4-61/IGLC7/IGLC6/IGHV1-58/IGHV3-43/IGHV3-35/IGHV2-70D/IGHV3-72",61
"GO:0051783","regulation of nuclear division","50/2046","131/14848",0.381679389312977,2.76988053397805,8.13398211439881,2.68199939575752e-12,2.15019722985588e-09,1.96048106207177e-09,"HORMAD1/CDCA8/CDC20/CDCA2/TTK/NDC80/CHEK1/HASPIN/AURKB/RAD51AP1/PLK1/BUB1/TRIP13/SKA1/FBXO5/SKA3/BIRC5/DLGAP5/UBE2C/SPDL1/INCENP/NPM2/MTBP/CENPF/TGFA/BORA/AURKA/MAD2L1/MKI67/RCC1/NUF2/GPR3/BUB1B/CCNB1/SPC24/KNL1/IL1A/ESPL1/NEK2/SPHK1/SPC25/TNF/CDC25C/PKMYT1/LIF/BTC/USP44/EDN1/EPGN/BMP7",50
"GO:0007088","regulation of mitotic nuclear division","45/2046","112/14848",0.401785714285714,2.91579388353582,8.13581837549105,4.11359486915725e-12,2.7212386516572e-09,2.48113836622757e-09,"CDCA8/CDC20/CDCA2/TTK/NDC80/CHEK1/HASPIN/AURKB/PLK1/BUB1/TRIP13/SKA1/FBXO5/SKA3/BIRC5/DLGAP5/UBE2C/SPDL1/INCENP/MTBP/CENPF/TGFA/BORA/AURKA/MAD2L1/MKI67/RCC1/NUF2/BUB1B/CCNB1/SPC24/KNL1/IL1A/ESPL1/NEK2/SPHK1/SPC25/TNF/CDC25C/PKMYT1/BTC/USP44/EDN1/EPGN/BMP7",45
"GO:0031424","keratinization","22/2046","33/14848",0.666666666666667,4.83805799934832,8.82370404210947,4.36406768797484e-12,2.7212386516572e-09,2.48113836622757e-09,"KRT16/KRT83/TGM1/CDH3/KRT86/KRT79/KRT6B/KLK5/KRT81/KRT6C/CERS3/SFN/KRT6A/KRT5/KRT17/IVL/CYP26B1/CASP14/KRT75/KRT4/KRT7/TCHH",22
"GO:0140014","mitotic nuclear division","80/2046","270/14848",0.296296296296296,2.15024799971036,7.62531261842394,7.24411414840576e-12,3.69581532735029e-09,3.36972620817229e-09,"CDCA8/CDC20/NCAPD2/CDCA2/TTK/NDC80/CHEK1/KIF2C/HASPIN/AURKB/TPX2/PLK1/BUB1/TRIP13/SKA1/ANLN/CHEK2/KIFC1/RANBP1/NCAPH/KIF18B/FBXO5/SKA3/EML4/BIRC5/NCAPG/PSRC1/DLGAP5/UBE2C/MYBL2/KIF23/SPDL1/INCENP/KIF15/KIF18A/KNSTRN/NPM2/MTBP/KIF14/CDT1/CENPF/NCAPG2/TGFA/BORA/AURKA/MAD2L1/CENPI/KIF4A/MKI67/RCC1/CENPE/NUF2/KIF11/CDK1/BUB1B/CCNB1/NFIB/SPC24/UBE2S/SPAG5/KNL1/IL1A/ESPL1/CHMP4C/NEK2/SPHK1/SPC25/PRC1/TNF/SMC4/CDC25C/UHRF1/PRICKLE1/PKMYT1/BTC/USP44/EDN1/EPGN/KIF25/BMP7",80
"GO:0019730","antimicrobial humoral response","46/2046","121/14848",0.380165289256198,2.75889257814078,7.76619186439106,2.34261327813124e-11,1.01128813206712e-08,9.22060173683884e-09,"BPI/CXCL5/PI3/MMP7/PRSS3/CCL20/SLPI/CXCL1/KLK5/GAPDH/DEFB1/KLK7/CXCL10/PGLYRP4/POMC/SPINK5/TF/KRT6A/CCL8/GATA6/CCL7/CXCL3/ADM/CCL18/CXCL6/CX3CL1/CCL13/CXCL11/CXCL8/H2BC11/S100A9/COLEC11/IGHG1/CCL26/IGHM/GNLY/DMBT1/CCL5/CCL24/IGHG2/IGKV3-20/IGHG3/LYZ/CXCL9/S100A7/RNASE7",46
"GO:0090068","positive regulation of cell cycle process","71/2046","236/14848",0.300847457627119,2.18327617343473,7.32521788082212,5.1015505395452e-11,1.90866010852851e-08,1.74025524019153e-08,"CCNE1/CDCA8/CDC20/NCAPD2/NDC80/CHEK1/CDC25A/AURKB/RAD51AP1/GPSM2/BUB1/EZH2/DBF4/STIL/SKA1/CHEK2/FAM83D/RANBP1/NCAPH/FBXO5/SKA3/CDC7/BIRC5/NCAPG/DLGAP5/UBE2C/KIF23/TFDP1/INCENP/CDC25B/NPM2/MTBP/KIF14/EGFR/NCAPG2/TGFA/AURKA/MAD2L1/PLCG2/CDK1/TERT/FEN1/CCNB1/RRM2/PLK4/DDX11/E2F8/SPAG5/KNL1/IL1A/ANXA1/ESPL1/SPHK1/PLSCR1/E2F7/CIT/TNF/SMC4/CDC25C/SOX15/RAD51B/CDC6/CCNE2/CENPV/BTC/USP44/EDN1/WNT10B/EPGN/DRD2/KCNA5",71
"GO:0051304","chromosome separation","33/2046","81/14848",0.407407407407407,2.95659099960175,7.05878055965579,1.93411260470176e-09,5.1686856845649e-07,4.71264229145628e-07,"CDCA8/CDC20/NCAPD2/TTK/NDC80/HASPIN/AURKB/PLK1/BUB1/TRIP13/SKA1/NCAPH/FBXO5/SKA3/BIRC5/NCAPG/DLGAP5/UBE2C/SPDL1/INCENP/CENPF/NCAPG2/MAD2L1/NUF2/BUB1B/CCNB1/SPC24/KNL1/ESPL1/PLSCR1/SPC25/SMC4/USP44",33
"GO:1903046","meiotic cell cycle process","57/2046","188/14848",0.303191489361702,2.20028701566107,6.6211024070002,2.93742910649511e-09,7.16732701984808e-07,6.53493953623467e-07,"HORMAD1/CCNE1/CDC20/NCAPD2/TTK/NDC80/CDC25A/ANKLE1/FANCA/RAD51AP1/RAD54L/PLK1/CCNB2/TRIP13/SKA1/MASTL/NCAPH/FBXO5/SGO1/SKA3/PTTG1/INCENP/ASPM/CDC25B/KIF18A/NPM2/CCNA1/KLHDC3/AURKA/CKS2/NUF2/RAD51/GPR3/MAEL/RAD54B/KNL1/STAG3/ESPL1/BRCA2/BRME1/MYBL1/SMC4/CDC25C/RAD51B/MEIOC/CYP26B1/HFM1/CCNE2/TOP2A/SYCE1L/PKMYT1/TDRD12/LIF/EDN1/MEIOB/KASH5/NPPC",57
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","24/2046","49/14848",0.489795918367347,3.55449159135795,7.1601082774328,3.73096772359679e-09,7.75488550549081e-07,7.07065657091774e-07,"CDCA8/CDC20/TTK/NDC80/HASPIN/AURKB/PLK1/BUB1/TRIP13/SKA1/FBXO5/SKA3/BIRC5/SPDL1/INCENP/CENPF/MAD2L1/NUF2/BUB1B/CCNB1/SPC24/KNL1/SPC25/USP44",24
"GO:0071173","spindle assembly checkpoint signaling","23/2046","47/14848",0.48936170212766,3.55134044633015,7.00333774296061,8.06527524077694e-09,1.25728679586778e-06,1.14635388729289e-06,"CDCA8/CDC20/TTK/NDC80/HASPIN/AURKB/PLK1/BUB1/TRIP13/SKA1/SKA3/BIRC5/SPDL1/INCENP/CENPF/MAD2L1/NUF2/BUB1B/CCNB1/SPC24/KNL1/SPC25/USP44",23
"GO:0071174","mitotic spindle checkpoint signaling","23/2046","47/14848",0.48936170212766,3.55134044633015,7.00333774296061,8.06527524077694e-09,1.25728679586778e-06,1.14635388729289e-06,"CDCA8/CDC20/TTK/NDC80/HASPIN/AURKB/PLK1/BUB1/TRIP13/SKA1/SKA3/BIRC5/SPDL1/INCENP/CENPF/MAD2L1/NUF2/BUB1B/CCNB1/SPC24/KNL1/SPC25/USP44",23
"GO:0051985","negative regulation of chromosome segregation","24/2046","51/14848",0.470588235294118,3.41509976424587,6.90663625737483,1.02525688794525e-08,1.55506531220237e-06,1.41785881431063e-06,"CDCA8/CDC20/TTK/NDC80/HASPIN/AURKB/PLK1/BUB1/TRIP13/SKA1/FBXO5/SKA3/BIRC5/SPDL1/INCENP/CENPF/MAD2L1/NUF2/BUB1B/CCNB1/SPC24/KNL1/SPC25/USP44",24
"GO:0007059","chromosome segregation","98/2046","409/14848",0.23960880195599,1.73886192152617,6.05744721532602,1.46844764437014e-08,2.06023204505131e-06,1.87845368402191e-06,"HORMAD1/CENPW/CCNE1/CDCA8/CDC20/NCAPD2/CDCA2/TTK/NDC80/CENPN/KIF2C/SRPK1/HASPIN/AURKB/TPX2/PLK1/GPSM2/BUB1/CCNB2/CENPO/TRIP13/STIL/SKA1/HJURP/CHEK2/TUBB/KIFC1/FAM83D/NCAPH/KIF18B/FBXO5/SGO1/SKA3/EML4/BIRC5/NCAPG/CENPL/PSRC1/DLGAP5/UBE2C/MYBL2/KIF23/SPDL1/PTTG1/INCENP/ASPM/KIF15/KIF18A/KNSTRN/KIF14/CDT1/CENPF/NCAPG2/DIAPH3/AURKA/MAD2L1/CENPI/KIF4A/MKI67/RCC1/HAUS8/CENPE/OIP5/NUF2/KIF11/CDK1/BUB1B/MAEL/CCNB1/SGO2/SPC24/FIRRM/TACC3/SPAG5/KNL1/STAG3/ESPL1/CHMP4C/NEK2/PLSCR1/SPC25/PRC1/DPF3/CENPM/SMC4/HAUS7/MEIOC/CDC6/CCNE2/UHRF1/RMI2/TOP2A/PRICKLE1/SYCE1L/USP44/KIF25/MEIOB/KASH5",98
"GO:0044786","cell cycle DNA replication","21/2046","45/14848",0.466666666666667,3.38664059954383,6.40990612288244,1.02613285886413e-07,1.25188208781424e-05,1.14142604735436e-05,"DONSON/DBF4/MCM6/MCM3/CDC45/FBXO5/MCM4/BLM/CDC7/CDT1/GINS1/RAD51/DNA2/MCM2/CDK1/FEN1/GMNN/E2F8/TK1/BRCA2/E2F7",21
"GO:0006959","humoral immune response","58/2046","213/14848",0.272300469483568,1.97610819691692,5.73620489353791,1.50286073449579e-07,1.79447966850858e-05,1.63614916693931e-05,"BPI/CXCL5/PI3/MMP7/EXO1/PRSS3/CCL20/NOTCH1/SLPI/CXCL1/KLK5/GAPDH/DEFB1/KLK7/TNFRSF21/CXCL10/PGLYRP4/POMC/SPINK5/TF/KRT6A/CCL8/GATA6/CCL7/CXCL3/ADM/CCL18/TNF/CXCL6/CX3CL1/CCL13/CD83/CXCL11/CXCL8/H2BC11/S100A9/C8G/IFNG/COLEC11/IGHG1/CCL26/IGHM/GNLY/DMBT1/POU2AF1/CCL5/CCL24/IGHG2/IGKV3-20/IGHG3/C4BPA/LYZ/TREM1/PDCD1/CXCL9/LTA/S100A7/RNASE7",58
"GO:0044772","mitotic cell cycle phase transition","95/2046","418/14848",0.227272727272727,1.64933795432329,5.38342939241948,3.48044528484133e-07,3.90645178770591e-05,3.56177779570815e-05,"CCNE1/SKP2/CDCA8/CDKN2A/CDC20/TTK/ORC1/NDC80/GTPBP4/CHEK1/FOXM1/CDC25A/E2F3/MELK/TICRR/HASPIN/AURKB/DONSON/PLK1/BUB1/EZH2/CCNB2/TRIP13/DBF4/STIL/SKA1/ANLN/CCNA2/CHEK2/MASTL/FBXO5/SKA3/CLSPN/BLM/CDC7/BIRC5/DLGAP5/UBE2C/TFDP1/SPDL1/INCENP/CDC25B/CDK6/NPM2/CCNA1/MTBP/KIF14/CENPF/EGFR/CCNJ/AURKA/RFWD3/MAD2L1/IQGAP3/RCC1/CENPE/CKS2/RBL1/NUF2/CDKN2C/CDK1/BUB1B/TERT/CCNB1/E2F1/NFIB/NES/RRM2/SPC24/CDKN3/TACC3/UBE2S/ID4/KNL1/ANXA1/ESPL1/CHMP4C/SPC25/E2F7/FAM107A/DPF3/CDC25C/RAD51B/USH1C/CDC6/MYC/PIM2/CCNE2/EIF4EBP1/BCAT1/PKMYT1/USP44/WNT10B/CCNB3/KCNA5",95
"GO:0098773","skin epidermis development","38/2046","123/14848",0.308943089430894,2.24202687774678,5.52954193081571,7.27146907307089e-07,8.00146753687722e-05,7.29548218043294e-05,"KRT16/STMN1/FERMT1/GAL/HDAC2/CDH3/NOTCH1/EGFR/SMO/LGR5/WNT10A/FOXQ1/CLDN1/SFN/SPINK5/MET/LSR/LHX2/GATA6/KRT17/SOSTDC1/EDAR/SNAI1/ZNF750/TNF/GRHL1/CYP26B1/SOX9/HPSE/FOXI3/GRHL3/TFAP2C/DKK1/VANGL2/ALX4/CD109/WNT10B/ALOX12B",38
"GO:0001906","cell killing","56/2046","217/14848",0.258064516129032,1.87279664490903,5.1777274680159,1.60402577808515e-06,0.000166590225983074,0.00015189163981388,"ULBP3/PVR/TUBB/CCL20/ULBP1/RAET1L/CXCL1/ULBP2/GAPDH/CEBPG/TAP2/CTSC/PIM1/GBP1/CXCL10/PGLYRP4/POMC/UNC13D/SFN/KRT6A/GBP5/ICAM1/CCL8/CXCL3/CCL18/LAG3/GZMB/CXCL6/KIR2DL4/CCL13/CXCL11/HLA-F/CXCL8/H2BC11/C8G/IL23A/IL12A/IGHG1/NOS2/PRF1/IL12RB1/SLAMF7/GNLY/RAET1G/CEACAM1/LYZ/KLRD1/HLA-G/TREM1/NKG7/IL18RAP/CXCL9/TIGIT/CD1A/CD1B/RNASE7",56
"GO:0045109","intermediate filament organization","20/2046","48/14848",0.416666666666667,3.0237862495927,5.61419714913485,1.93221985405439e-06,0.000190238909139531,0.000173453752734227,"KRT16/KRT83/KRT86/KRT79/KRT6B/INA/PKP1/KRT81/KRT6C/KRT6A/KRT5/KRT23/KRT17/KRT14/KRT75/KRT4/KRT7/TCHH/PRPH/NEFM",20
"GO:0000727","double-strand break repair via break-induced replication","9/2046","12/14848",0.75,5.44281524926686,6.15493856003556,2.61458180234198e-06,0.000236502677366481,0.000215635576898838,"MCM7/MCM5/MCM6/MCM3/CDC45/MCM4/CDC7/MCM2/GINS4",9
"GO:0060707","trophoblast giant cell differentiation","9/2046","12/14848",0.75,5.44281524926686,6.15493856003556,2.61458180234198e-06,0.000236502677366481,0.000215635576898838,"ELF5/MDFI/PLK4/GJB5/E2F8/E2F7/SNAI1/SOX15/LIF",9
"GO:0002544","chronic inflammatory response","12/2046","21/14848",0.571428571428571,4.14690685658428,5.76899483046236,3.98123274630426e-06,0.000339144576417681,0.00030922117754555,"CEBPB/S100A8/IDO1/ADORA2B/UNC13D/VNN1/TNF/S100A9/VCAM1/CCL5/LTA/CYP19A1",12
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","45/2046","167/14848",0.269461077844311,1.95550248476654,4.96415684201439,4.87890567198932e-06,0.000402653215164766,0.000367126323088856,"CDCA8/CENPA/CDC20/TTK/NDC80/AURKB/STMN1/TPX2/PLK1/GPSM2/STIL/PAX6/CHEK2/KIFC1/FSD1/BIRC5/PSRC1/DLGAP5/MYBL2/KIF23/INTS13/SPDL1/INCENP/KIF15/BORA/AURKA/MAD2L1/KIF4A/RCC1/CENPE/NUF2/KIF11/CDK1/CCNB1/WDR62/TACC3/ESPL1/CHMP4C/NEK2/SPC25/PRC1/SAPCD2/GNAI1/UHRF1/PRICKLE1",45
"GO:0007218","neuropeptide signaling pathway","23/2046","64/14848",0.359375,2.6080156402737,5.15368103381791,6.91684405960074e-06,0.000546722941725061,0.000498484491826823,"GAL/OPRK1/NPFFR1/ECEL1/POMC/TYRO3/NMB/NMU/NXPH4/QRFP/QRFPR/GPR84/NTSR1/PCSK1N/GNAI1/GPR37/TENM1/NMUR1/SSTR3/ADCYAP1/PNOC/PENK/ECRG4",23
"GO:0042633","hair cycle","31/2046","105/14848",0.295238095238095,2.14256854256854,4.69696406013045,2.05216916674208e-05,0.00142182387206871,0.00129637353080354,"KRT16/KRT83/FERMT1/GAL/HDAC2/CDH3/NOTCH1/TRPV3/EGFR/SMO/LGR5/TERT/WNT10A/FOXQ1/SPINK5/LHX2/KRT17/SOSTDC1/EDAR/SNAI1/TNF/KRT14/SOX9/HPSE/FOXI3/TFAP2C/DKK1/VANGL2/ALX4/CD109/WNT10B",31
"GO:0031640","killing of cells of another organism","28/2046","91/14848",0.307692307692308,2.23294984585307,4.716288089918,2.20088643323772e-05,0.00148811742931688,0.00135681787596304,"CCL20/CXCL1/GAPDH/PIM1/GBP1/CXCL10/PGLYRP4/POMC/SFN/KRT6A/GBP5/CCL8/CXCL3/CCL18/GZMB/CXCL6/CCL13/CXCL11/CXCL8/H2BC11/C8G/PRF1/GNLY/LYZ/TREM1/NKG7/CXCL9/RNASE7",28
"GO:0141061","disruption of cell in another organism","28/2046","91/14848",0.307692307692308,2.23294984585307,4.716288089918,2.20088643323772e-05,0.00148811742931688,0.00135681787596304,"CCL20/CXCL1/GAPDH/PIM1/GBP1/CXCL10/PGLYRP4/POMC/SFN/KRT6A/GBP5/CCL8/CXCL3/CCL18/GZMB/CXCL6/CCL13/CXCL11/CXCL8/H2BC11/C8G/PRF1/GNLY/LYZ/TREM1/NKG7/CXCL9/RNASE7",28
"GO:0002237","response to molecule of bacterial origin","71/2046","320/14848",0.221875,1.61016617790811,4.41116661302757,2.4201666763027e-05,0.00159787945734244,0.0014568953824777,"BPI/IL12RB2/CXCL5/RIPK2/HDAC2/IRAK1/OPRK1/SLC7A5/CEBPB/PELI1/LYN/NOTCH1/SLPI/S100A8/TAP2/IDO1/NLRP7/PLCG2/SIRPA/CXCL10/TNIP3/ANKRD1/E2F1/LCN2/CLDN1/INAVA/GSTP1/PRKCA/SCARB1/GBP5/IL1A/NR1I2/HMGB2/LBP/ALPL/TNFRSF11A/BMP6/TNF/EPHB2/CXCL6/CX3CL1/PTGFR/CXCL8/TLR6/ASS1/GJB6/TLR1/CARD9/LILRB2/VCAM1/PDCD1LG2/GNRH1/FCAR/MPO/CD274/CD180/IL12A/NOS2/CSF2RB/CD80/CMPK2/EDN1/FASLG/PDE4B/CXCL9/TIFAB/LTA/NOS1/MMP9/S100A7/PENK",71
"GO:0015824","proline transport","8/2046","12/14848",0.666666666666667,4.83805799934832,5.31712660789577,3.78291780489676e-05,0.00241246985466825,0.00219961285282334,"SLC6A15/SLC7A5/SLC36A4/SLC6A17/CLTRN/ACE2/SLC6A7/SLC6A20",8
"GO:0030174","regulation of DNA-templated DNA replication initiation","9/2046","15/14848",0.6,4.35425219941349,5.19589183855776,4.01427703568394e-05,0.00250312474713981,0.00228226908426429,"TICRR/MCM7/MCM5/MCM6/MCM3/MCM4/CDT1/MCM2/GMNN",9
